gene_id	gene_name	ERR229537_Hco_A_REP1	ERR229538_Hco_A_REP2	ERR229539_Hco_A_REP3	ERR229540_Hco_M_REP1	ERR229541_Hco_M_REP2	ERR229542_Hco_M_REP3
HCON_00001920	HCON_00001920	2	5	2	7	10	6
HCON_00001930	HCON_00001930	4	2	2	0	2	0
HCON_00001940	HCON_00001940	3	4	0	52	65	56
HCON_00001960	HCON_00001960	7.013	6	8.009	52	83	87
HCON_00001970	HCON_00001970	0	0	0	0	0	0
HCON_00001980	unc-18	626.987	699	513.991	392	379	315
HCON_00002000	HCON_00002000	61	47	82	105.999	124	119.999
HCON_00002010	HCON_00002010	0	1	0	1	0	3
HCON_00002020	HCON_00002020	238	304	199	202	186	196
HCON_00002030	HCON_00002030	146	215	144	45	66	37
HCON_00002040	HCON_00002040	0	1	2	58	21	26
HCON_00002050	HCON_00002050	0	1	0	69	20	29
HCON_00002060	HCON_00002060	0	0	0	2	5	5
HCON_00002080	HCON_00002080	606	777	591	434	400	449
HCON_00002090	HCON_00002090	0	0	0	0	1	1
HCON_00002100	HCON_00002100	6	8	18	39	37	34
HCON_00002110	HCON_00002110	76	81	109	323	314	311
HCON_00002120	HCON_00002120	0	0	3	5	6	7
HCON_00002130	HCON_00002130	0	0	0	4	2	1
HCON_00002140	HCON_00002140	0	0	0	0	0	0
HCON_00002150	HCON_00002150	0	0	1	0	0	0
HCON_00002160	HCON_00002160	1075	1382	1166	557	562	529
HCON_00002165	HCON_00002165	328	433	376	117	116	113
HCON_00002168	HCON_00002168	189	260	192	203	256	225
HCON_00002190	HCON_00002190	1042	1244	978	877	869	901
HCON_00002220	HCON_00002220	142	164	125	94	101	95
HCON_00002230	HCON_00002230	434	565	374	221	172	219
HCON_00002231	HCON_00002231	2	1	1	0	1	1
HCON_00002260	HCON_00002260	6	3	5	5	4	1
HCON_00002270	HCON_00002270	6	5	4	4	4	4
HCON_00002275	HCON_00002275	2	2	5	7	11	12
HCON_00002290	HCON_00002290	94	90	93	174	133	129
HCON_00002310	HCON_00002310	82	127	81	18	35	29
HCON_00002320	HCON_00002320	21	21	15	4	5	7
HCON_00002330	HCON_00002330	10	9	5	6	3	6
HCON_00002340	HCON_00002340	4	7	0	0	1	1
HCON_00002360	HCON_00002360	13	16	7	38	41	32
HCON_00002370	HCON_00002370	2	3	0	2	0	1
HCON_00002375	HCON_00002375	3	13	2	3	3	0
HCON_00002380	HCON_00002380	136	153	102	20	9	20.379
HCON_00002390	HCON_00002390	42	63	40	28	31	31.621
HCON_00002410	HCON_00002410	0	0	0	0	0	0
HCON_00002420	HCON_00002420	0	0	0	0	0	0
HCON_00002430	HCON_00002430	40	50	43	37	39	32
HCON_00002440	HCON_00002440	0	0	0	25	51	37
HCON_00002450	HCON_00002450	0	0	0	0	0	0
HCON_00002460	HCON_00002460	6	7	6	1	0	1
HCON_00002480	HCON_00002480	0	0	0	67	84	92
HCON_00002490	HCON_00002490	201	227	199	1309	1452	1352
HCON_00002500	HCON_00002500	271	339	293	292	370	368
HCON_00002505	HCON_00002505	107	126	92	430	411	440
HCON_00002510	HCON_00002510	0	0	0	0	0	0
HCON_00002520	HCON_00002520	287	387	281	117	82	94
HCON_00002530	HCON_00002530	157	226	158	85	93	85
HCON_00002535	HCON_00002535	143	133	115	76	78	74
HCON_00002540	HCON_00002540	12	4	11	0	4	4
HCON_00002550	HCON_00002550	21	34	26	256	255	306
HCON_00002570	HCON_00002570	1	0	0	0	2	1
HCON_00002580	daf-16a	358	439.001	361	456	473	457.999
HCON_00002600	HCON_00002600	351	463	323	207	194	201
HCON_00002605	HCON_00002605	3.882	6.568	11.385	14.43	7.688	6.732
HCON_00002610	HCON_00002610	448	564	427	157	156	150
HCON_00002620	HCON_00002620	137	145	123	41	47	32
HCON_00002625	HCON_00002625	28	35	38	68	97	68
HCON_00002630	HCON_00002630	1	1	2	2	8	4
HCON_00002640	HCON_00002640	0	0	1	0	0	0
HCON_00002650	HCON_00002650	1	1	2	93	112	99
HCON_00002670	HCON_00002670	1	2	0	0	0	4
HCON_00002690	HCON_00002690	8.337	9.738	11.997	15.543	9.951	16.963
HCON_00002700	HCON_00002700	2	5	2	0	0	0
HCON_00002702	HCON_00002702	2	3	2	4	2	2
HCON_00002704	HCON_00002704	16	38	29	79	46	47
HCON_00002710	HCON_00002710	36	41	47	69	56	70
HCON_00002715	HCON_00002715	3982	5125	4181	5908	5860	5376
HCON_00002720	HCON_00002720	1	1	1	2	8	3
HCON_00002730	HCON_00002730	0	0	0	1	1	1
HCON_00002740	HCON_00002740	0	0	0	1	2	3
HCON_00002750	HCON_00002750	1	5	3	373	434	480
HCON_00002760	HCON_00002760	1.799	1	6	174.899	222.922	190.847
HCON_00002765	HCON_00002765	11.201	9	7	46.1	67.078	69.153
HCON_00002770	HCON_00002770	5	3	3	3	5	3
HCON_00002780	HCON_00002780	1224	1578	1199	838	764	842
HCON_00002790	HCON_00002790	803	1103	823	298	204	226
HCON_00002800	HCON_00002800	260	317	277	412	470	464
HCON_00002810	HCON_00002810	381	473	325	708	796	881
HCON_00002820	HCON_00002820	11	19	17	37	58	54
HCON_00002830	HCON_00002830	0	0	0	0	0	0
HCON_00002840	HCON_00002840	0	0	0	0	0	0
HCON_00002850	HCON_00002850	624	941	698	132	133	129
HCON_00002860	HCON_00002860	173	216	136	510	525	536
HCON_00002880	HCON_00002880	387	511.999	358	329	400	376
HCON_00002890	HCON_00002890	609	766	625	1270	1373	1355
HCON_00002900	HCON_00002900	377	497	403	330	379	390
HCON_00002910	HCON_00002910	363	502	435	53	62	70
HCON_00002920	HCON_00002920	269	346	307	321	320	296
HCON_00002925	HCON_00002925	5	2	3	1	1	0
HCON_00002930	HCON_00002930	350	451	373	272	308	279
HCON_00002940	HCON_00002940	298	406	313	135	156	167
HCON_00002950	HCON_00002950	1	3	1	2	1	1
HCON_00002960	HCON_00002960	0	0	0	0	0	0
HCON_00002965	HCON_00002965	14	10	12	18	21	19
HCON_00002970	HCON_00002970	55	75	58	31	35	42
HCON_00002980	HCON_00002980	475	554	434	146	130	109
HCON_00002990	HCON_00002990	210	266	222	138	134	101
HCON_00003000	HCON_00003000	247	301	254	170	175	192
HCON_00003010	HCON_00003010	426	572	344	150	161	117
HCON_00003020	HCON_00003020	0	0	1	0	1	0
HCON_00003030	HCON_00003030	0	0	0	0	1	0
HCON_00003040	HCON_00003040	1	0	0	0	2	0
HCON_00003050	HCON_00003050	268.034	306.871	222.297	78.172	88.93	68.87
HCON_00003055	HCON_00003055	506.966	555.129	391.703	146.828	157.07	147.13
HCON_00003080	HCON_00003080	166	227	135	153	146	137
HCON_00003100	HCON_00003100	131	158	140	903	875	865
HCON_00003110	HCON_00003110	4	2	2	51	67	98
HCON_00003120	HCON_00003120	0	1	1	459	601	513
HCON_00003130	HCON_00003130	112	155	167	1460	1007	1189.001
HCON_00003150	HCON_00003150	0	0	0	0	0	0
HCON_00003170	HCON_00003170	0	0	0	0	0	0
